lat,lng,cap
24.8724,105.3258,32.34
39.8453,-6.7197,254.75
48.9901,12.067,0.44
50.6708,-1.2763,5.79
50.9697,3.0824,5.39
34.4257,119.7781,2.82
51.3859,19.7854,1.36
40.6895,0.4643,1.22
48.1123,22.5346,0.83
-10.1619,-37.4353,1.21
33.0541,111.884,1.0
36.4195,128.5983,0.71
45.504,0.7545,0.74
21.3053,71.1488,3.31
34.1389,112.5597,0.69
36.1567,140.4894,0.71
50.697,10.1686,0.72
37.9672,112.5594,0.68
30.6131,120.5626,1.0
25.554,100.7755,1.65
-16.9958,-44.8826,2.04
53.5685,-2.8193,2.83
45.0272,26.579,0.73
32.0199,36.1005,0.43
30.2055,121.3719,0.59
43.2546,2.0313,1.81
46.1063,18.5249,1.94
45.5045,9.3441,0.38
50.4427,23.432,0.4
30.9223,117.7681,0.6
32.5057,113.5439,1.43
42.7345,2.7431,3.79
31.3735,34.7847,2.05
31.1641,118.208,1.35
43.9299,12.157,1.47
39.0738,-84.7024,0.78
25.8947,107.2688,16.78
13.7781,77.4325,7.97
37.6337,126.2438,1.62
35.4645,140.3615,0.42
44.4314,26.1752,0.68
39.3664,140.9764,6.78
47.9998,19.7714,0.45
36.477,139.1146,0.79
34.8204,136.9013,0.45
31.748,130.969,1.09
40.9301,26.0038,0.41
27.9924,74.031,1.15
44.8047,-72.9236,0.27
34.6143,132.4529,0.56
23.1953,114.2478,1.08
47.1034,21.8223,1.8
33.6538,-117.2001,0.26
41.5785,-93.593,0.54
37.1257,115.1094,1.28
19.1256,-70.1407,0.75
37.8775,-1.3685,2.93
40.1336,21.8816,0.36
57.5907,-1.9043,18.65
47.1857,18.0855,11.01
32.045,115.4118,0.34
44.4283,127.2225,1.33
10.6,-74.7978,2.55
36.697,127.6709,1.23
34.7281,137.4777,2.43
23.909,101.5302,7.62
22.6348,120.3818,0.84
32.5746,130.4438,0.8
53.4833,19.5401,1.52
-17.5638,-46.845,3.51
33.3471,116.6112,0.37
32.7749,114.9228,0.64
40.4746,90.8834,0.38
36.2215,-119.8301,28.73
31.7312,131.0983,1.41
31.1782,120.6912,0.46
41.3527,-75.9049,0.77
32.7405,35.4245,9.5
32.8394,129.7341,1.29
22.542,111.9465,5.05
16.134,77.127,51.02
40.8618,-72.8545,29.48
-11.4722,-54.8028,1.04
-20.0685,-44.85,3.42
33.1705,109.6694,0.75
55.1351,-1.5283,0.94
-12.6977,-60.1557,2.0
40.9288,-72.738,6.39
37.8781,127.7093,0.53
43.465,1.3894,0.6
47.6192,8.2444,1.29
18.3711,76.4664,0.63
26.3819,99.1296,1.57
27.8356,111.5182,2.57
23.308,109.2825,0.94
36.1515,137.8633,1.21
40.5827,15.6139,0.92
32.6107,119.8141,5.49
47.9041,9.0312,0.48
-27.1799,26.9182,1.02
26.1508,98.9276,2.35
43.7377,4.3544,2.72
21.5665,-99.5777,0.61
11.5703,107.5267,1.07
35.4199,126.6768,0.5
35.9851,138.6173,28.48
-22.8398,28.0511,1.03
35.1893,136.5144,2.74
36.2243,136.1608,0.45
50.722,6.3963,0.37
34.2763,113.282,0.74
44.3262,143.3738,2.56
37.5744,118.6039,26.0
38.5767,-5.8094,0.28
38.0596,116.9912,1.79
-29.2357,-56.4604,2.28
28.3639,117.839,4.51
46.0631,13.6295,1.09
-20.5105,-45.9687,1.09
50.503,4.7193,0.69
39.7783,-83.1602,3.09
35.9332,139.5269,0.5
24.3165,110.3807,9.63
36.9344,140.0686,1.71
56.952,21.9718,0.5
35.7632,140.4482,0.76
43.7845,-79.6774,0.9
22.1501,107.3693,1.78
